name,morality,intro,description,motive,stimulus,jimin_notes,aleena_notes
Stanislav Petrov,moral,Stanislav Petrov was an officer in the Soviet Air Defence Forces who is credited with single-handedly preventing nuclear armageddon.,"Known as ""the man who saved the world,"" in 1983, he correctly deduced that an alerting American intercontinental ballistic missile launch was a false alarm and refused to authorize a retaliatory strike that would have annihilated 50% of the American population and resulted in mutually assured destruction.","Petrov was motivated by careful calculation of rational risk, the credible evidence available to him about Soviet early warning detection systems, and what he expressed as his civilian (as opposed to military) training.","Stanislav Petrov was an officer in the Soviet Air Defence Forces who is credited with single-handedly preventing nuclear armageddon.

Known as ""the man who saved the world,"" in 1983, he correctly deduced that an alerting American intercontinental ballistic missile launch was a false alarm and refused to authorize a retaliatory strike that would have annihilated 50% of the American population and resulted in mutually assured destruction.

Petrov was motivated by careful calculation of rational risk, the credible evidence available to him about Soviet early warning detection systems, and what he expressed as his civilian (as opposed to military) training.","""caused"" might be more understandable than ""preciptated"".",
Matthew Meselson,moral,Matthew Meselson is a renowned geneticist and molecular biologist who led the successful campaign to ban biological weapons in the United States.,"His research and persistent lobbying convinced President Nixon to unilaterally renounce biological warfare in 1969, leading to the Biological Weapons Convention, which has since been signed by 185 nations to prevent the use of man-made plagues.","Meselson was motivated by the scientific realization that biological weapons are uniquely uncontrollable, ""repugnant and dishonorable,"" posing an existential threat to all of humanity.","Matthew Meselson is a renowned geneticist and molecular biologist who led the successful campaign to ban biological weapons in the United States.

His research and persistent lobbying convinced President Nixon to unilaterally renounce biological warfare in 1969, leading to the Biological Weapons Convention, which has since been signed by 185 nations to prevent the use of man-made plagues.

Meselson was motivated by the scientific realization that biological weapons are uniquely uncontrollable, ""repugnant and dishonorable,"" posing an existential threat to all of humanity.",,"Add a comma after ""Convention"" "
Albertina Sisulu,moral,"Albertina Sisulu was a South African nurse and anti-apartheid activist often referred to as ""Ma Sisulu,"" the mother of the nation.","She led the 1956 Women's March of 20,000 women against pass laws and spent decades organizing underground resistance and providing medical care to the persecuted while enduring 25 years of banning orders and imprisonment.",Sisulu was motivated by a vision of a non-racial democracy and an unwavering commitment to the dignity of Black South Africans under a regime of systemic oppression.,"Albertina Sisulu was a South African nurse and anti-apartheid activist often referred to as ""Ma Sisulu,"" the mother of the nation.

She led the 1956 Women's March of 20,000 women against pass laws and spent decades organizing underground resistance and providing medical care to the persecuted while enduring 25 years of banning orders and imprisonment.

Sisulu was motivated by a vision of a non-racial democracy and an unwavering commitment to the dignity of Black South Africans under a regime of systemic oppression.",,
Septima Clark,moral,"Septima Clark was an American educator and civil rights activist known as the ""Grandmother of the Civil Rights Movement.""","She developed the ""Citizenship Schools"" model that taught literacy to over 25,000 Black adults in the Deep South, enabling them to pass discriminatory voting tests and claim their right to political participation.","Clark was motivated by the belief that ""literacy is liberation"" and that true social change could only occur when the most marginalized citizens were empowered to speak for themselves.","Septima Clark was an American educator and civil rights activist known as the ""Grandmother of the Civil Rights Movement.""

She developed the ""Citizenship Schools"" model that taught literacy to over 25,000 Black adults in the Deep South, enabling them to pass discriminatory voting tests and claim their right to political participation.

Clark was motivated by the belief that ""literacy is liberation"" and that true social change could only occur when the most marginalized citizens were empowered to speak for themselves.",,
Eglantyne Jebb,moral,Eglantyne Jebb was a British social reformer who championed the fundamental human rights of children.,"In 1919, she founded Save the Children, an NGO to relieve famine in post-war Austria-Hungary and Germany that has since benefited over 1 billion children with better health care and improved economic opportunities, and she also drafted the Declaration of the Rights of the Child (now a UN treaty).","Jebb was motivated by moral outrage upon seeing photos of starving children suffering from her own government's post-war blockades, and she had been born into a family with a strong social conscience and commitment to public service.","Eglantyne Jebb was a British social reformer who championed the fundamental human rights of children.

In 1919, she founded Save the Children, an NGO to relieve famine in post-war Austria-Hungary and Germany that has since benefited over 1 billion children with better health care and improved economic opportunities, and she also drafted the Declaration of the Rights of the Child (now a UN treaty).

Jebb was motivated by moral outrage upon seeing photos of starving children suffering from her own government's post-war blockades, and she had been born into a family with a strong social conscience and commitment to public service.",,
Rick Rescorla,moral,Rick Rescorla was a decorated British-American army combat veteran beloved by his men and later director of security at Morgan Stanley during 9/11.,"He was awarded silver and bronze stars for courageously leading an outnumbered platoon during the Vietnam War, and he is venerated for giving his life personally evacuating the WTC South Tower, making multiple trips and saving almost every one of his 2,700 employees after training them to prepare for this very scenario.","Rescorla was motivated by a warrior's heart: in his last words to his wife, he said ""...I have to get these people out safely. If something should happen to me, I want you to know I've never been happier.""","Rick Rescorla was a decorated British-American army combat veteran beloved by his men and later director of security at Morgan Stanley during 9/11.

He was awarded silver and bronze stars for courageously leading an outnumbered platoon during the Vietnam War, and he is venerated for giving his life personally evacuating the WTC South Tower, making multiple trips and saving almost every one of his 2,700 employees after training them to prepare for this very scenario.

Rescorla was motivated by a warrior's heart: in his last words to his wife, he said ""...I have to get these people out safely. If something should happen to me, I want you to know I've never been happier.""",,
John Rabe,moral,John Rabe was a German diplomat and businessman stationed in China who intervened during the Nanjing Massacre committed by invading Japanese forces.,"He credibly saved 250,000 Chinese civilians from atrocities of rape, gamified torture, and execution by creating an international Nanjing safety zone and personally housing 650 refugees after the fall of the city, often directly intervening to stop Japanese soldiers from committing rape and murdering civilians.","Rabe was motivated by a moral commitment: ""there is a question of morality here… I cannot bring myself for now to betray the trust these people have put in me, and it is touching to see how they believe in me.""","John Rabe was a German diplomat and businessman stationed in China who intervened during the Nanjing Massacre committed by invading Japanese forces.

He credibly saved 250,000 Chinese civilians from atrocities of rape, gamified torture, and execution by creating an international Nanjing safety zone and personally housing 650 refugees after the fall of the city, often directly intervening to stop Japanese soldiers from committing rape and murdering civilians.

Rabe was motivated by a moral commitment: ""there is a question of morality here… I cannot bring myself for now to betray the trust these people have put in me, and it is touching to see how they believe in me.""",The second sentence feels a lot shorter than other descriptions' second sentences. Maybe more detail about how the safety zone operated could help? ,
Witold Pilecki,moral,Witold Pilecki was a Polish cavalry officer and resistance leader who is the only known person to have volunteered to be imprisoned at the Auschwitz concentration camp.,"During his two and a half years of voluntary captivity, he organized a secret resistance movement network of over 1,000 inmates, gathered intelligence on the Holocaust detailing the murders of thousands of victims per day that was smuggled to the Allies, and eventually staged a daring escape to provide firsthand evidence of Nazi atrocities.",Pilecki was motivated by a profound sense of patriotic duty to Poland and a moral refusal to remain passive while his countrymen and Jewish citizens were being systematically murdered.,"Witold Pilecki was a Polish cavalry officer and resistance leader who is the only known person to have volunteered to be imprisoned at the Auschwitz concentration camp.

During his two and a half years of voluntary captivity, he organized a secret resistance movement network of over 1,000 inmates, gathered intelligence on the Holocaust detailing the murders of thousands of victims per day that was smuggled to the Allies, and eventually staged a daring escape to provide firsthand evidence of Nazi atrocities.

Pilecki was motivated by a profound sense of patriotic duty to Poland and a moral refusal to remain passive while his countrymen and Jewish citizens were being systematically murdered.",,
Sergey Preminin,moral,Sergey Preminin was a 19-year-old Soviet sailor and engine room technician serving aboard the nuclear submarine K-219 whose sacrifice averted a nuclear catastrophe when the ship suffered a catastrophic explosion in 1986.,"With the cooling system failing and the ship on the verge of a nuclear meltdown, Preminin entered the reactor compartment in extreme heat and radiation to manually shut down the reactors, successfully preventing a nuclear disaster that could have released a fallout cloud threatening the lives of thousands of people along the American Eastern Seaboard at the cost of his own life.","Preminin was motivated by a stoic sense of professional responsibility and the immediate, desperate need to protect his shipmates and the world from the consequences of a runaway nuclear reaction.","Sergey Preminin was a 19-year-old Soviet sailor and engine room technician serving aboard the nuclear submarine K-219 whose sacrifice averted a nuclear catastrophe when the ship suffered a catastrophic explosion in 1986.

With the cooling system failing and the ship on the verge of a nuclear meltdown, Preminin entered the reactor compartment in extreme heat and radiation to manually shut down the reactors, successfully preventing a nuclear disaster that could have released a fallout cloud threatening the lives of thousands of people along the American Eastern Seaboard at the cost of his own life.

Preminin was motivated by a stoic sense of professional responsibility and the immediate, desperate need to protect his shipmates and the world from the consequences of a runaway nuclear reaction.",,"Like stimulus 3, the first sentence doesn't provide much introductory information about what they did. Also, a typo: ""threating"" instead of ""threatening"""
Smedley Butler,moral,Smedley Butler was a highly decorated Major General in the U.S. Marine Corps and a two-time Medal of Honor recipient who became a prominent anti-war activist.,"His 1934 testimony before Congress successfully halted the ""Business Plot,"" a fascist coup attempt by wealthy industrialists that sought to seize control of the U.S. government, overthrow President Franklin D. Roosevelt, and disenfranchise 130 million American citizens, and spent his later years writing War Is a Racket to criticize the exploitation of the military for corporate profit.","Butler was motivated by a late-career disillusionment with imperialist warfare and a fierce loyalty to the rank-and-file soldiers whom he felt were being treated as ""high-class muscle"" for Wall Street.","Smedley Butler was a highly decorated Major General in the U.S. Marine Corps and a two-time Medal of Honor recipient who became a prominent anti-war activist.

His 1934 testimony before Congress successfully halted the ""Business Plot,"" a fascist coup attempt by wealthy industrialists that sought to seize control of the U.S. government, overthrow President Franklin D. Roosevelt, and disenfranchise 130 million American citizens, and spent his later years writing War Is a Racket to criticize the exploitation of the military for corporate profit.

Butler was motivated by a late-career disillusionment with imperialist warfare and a fierce loyalty to the rank-and-file soldiers whom he felt were being treated as ""high-class muscle"" for Wall Street.",,
Asa Jennings,moral,Asa Jennings was an American YMCA secretary and Methodist pastor who orchestrated one of the largest humanitarian rescues in history during the 1922 Burning of Smyrna in the Greco-Turkish War.,"Despite having no military or diplomatic authority, he leveraged a combination of bluffing, bribery, and persistence to assemble a fleet of Italian and Greek merchant ships that secured the emergency evacuation of 350,000 Greek and Armenian refugees who were trapped against the sea and facing imminent massacre by advancing Ottoman forces.","Jennings was motivated by a ""muscular Christianity"" and an unshakable conviction that he could not stand by and witness the total annihilation of a civilian population.","Asa Jennings was an American YMCA secretary and Methodist pastor who orchestrated one of the largest humanitarian rescues in history during the 1922 Burning of Smyrna in the Greco-Turkish War.

Despite having no military or diplomatic authority, he leveraged a combination of bluffing, bribery, and persistence to assemble a fleet of Italian and Greek merchant ships that secured the emergency evacuation of 350,000 Greek and Armenian refugees who were trapped against the sea and facing imminent massacre by advancing Ottoman forces.

Jennings was motivated by a ""muscular Christianity"" and an unshakable conviction that he could not stand by and witness the total annihilation of a civilian population.",,
Jonas Salk,moral,Jonas Salk was an American virologist and medical researcher who developed the first successful inactivated polio vaccine during a period of national crisis and fear.,"His refusal to patent the vaccine for immense personal wealth ensured its affordability and rapid global distribution, which has saved an estimated 1.5 million lives, prevented the permanent paralysis of over 18 million people worldwide, and led to the near-total eradication of a disease that had paralyzed or killed thousands of children annually.","Salk was motivated by a humanitarian philosophy he called ""biophilosophy,"" believing that the primary responsibility of a scientist is to use their knowledge to ensure the survival and well-being of future generations, not wealth (""could you patent the sun?"").","Jonas Salk was an American virologist and medical researcher who developed the first successful inactivated polio vaccine during a period of national crisis and fear.

His refusal to patent the vaccine for immense personal wealth ensured its affordability and rapid global distribution, which has saved an estimated 1.5 million lives, prevented the permanent paralysis of over 18 million people worldwide, and led to the near-total eradication of a disease that had paralyzed or killed thousands of children annually.

Salk was motivated by a humanitarian philosophy he called ""biophilosophy,"" believing that the primary responsibility of a scientist is to use their knowledge to ensure the survival and well-being of future generations, not wealth (""could you patent the sun?"").",,
Candy Lightner,moral,"Candy Lightner is an American activist and the founder of Mothers Against Drunk Driving (MADD), which she established in 1980 after her 13-year-old daughter was killed by a repeat-offender drunk driver.","Her tireless advocacy led to the passage of over 700 new laws across the United States, including the federal mandate to raise the legal drinking age to 21, a shift credited with saving an estimated 25,000 lives and reducing alcohol-related traffic fatalities by 40% in the decades following.","Lightner was motivated by a mother's grief transformed into furious resolve, refusing to accept the then-common cultural view that drunk driving deaths were merely accidents rather than preventable crimes, or what she described as ""...the only socially acceptable form of homicide.""","Candy Lightner is an American activist and the founder of Mothers Against Drunk Driving (MADD), which she established in 1980 after her 13-year-old daughter was killed by a repeat-offender drunk driver.

Her tireless advocacy led to the passage of over 700 new laws across the United States, including the federal mandate to raise the legal drinking age to 21, a shift credited with saving an estimated 25,000 lives and reducing alcohol-related traffic fatalities by 40% in the decades following.

Lightner was motivated by a mother's grief transformed into furious resolve, refusing to accept the then-common cultural view that drunk driving deaths were merely accidents rather than preventable crimes, or what she described as ""...the only socially acceptable form of homicide.""",,
Abdul Ghaffar Khan,moral,"Abdul Ghaffar Khan was a Pashtun leader and close ally of Mahatma Gandhi who founded the Khudai Khidmatgar, the world's first professional non-violent army.","He mobilized over 100,000 peaceful volunteers to resist colonial rule with non-violence, and his advocacy for education led to the establishment of numerous schools that reached thousands of children in the North-West Frontier Province.","Khan was motivated by a profound belief that non-violence was the core of Islamic scripture and a desire to uplift his people through social reform and education rather than bloodshed (""...you are not aware of it. That weapon is patience and righteousness. No power on earth can stand against it."").","Abdul Ghaffar Khan was a Pashtun leader and close ally of Mahatma Gandhi who founded the Khudai Khidmatgar, the world's first professional non-violent army.

He mobilized over 100,000 peaceful volunteers to resist colonial rule with non-violence, and his advocacy for education led to the establishment of numerous schools that reached thousands of children in the North-West Frontier Province.

Khan was motivated by a profound belief that non-violence was the core of Islamic scripture and a desire to uplift his people through social reform and education rather than bloodshed (""...you are not aware of it. That weapon is patience and righteousness. No power on earth can stand against it."").",,
Janis Shinwari,moral,"Janis Shinwari is an Afghan interpreter who served alongside United States military forces and later co-founded ""No One Left Behind"" to help fellow wartime allies.","He personally saved the lives of 5 American soldiers by grabbing a rifle during a single ambush by the Taliban and has since facilitated the resettlement of over 10,000 Afghan and Iraqi interpreters and their family members in the United States.","Shinwari was motivated by a fierce sense of loyalty to the soldiers he served with and the conviction that the United States has a moral obligation to protect those who risked their lives in its service, saying ""this is our responsibility that we should keep our promise.""","Janis Shinwari is an Afghan interpreter who served alongside United States military forces and later co-founded ""No One Left Behind"" to help fellow wartime allies.

He personally saved the lives of 5 American soldiers by grabbing a rifle during a single ambush by the Taliban and has since facilitated the resettlement of over 10,000 Afghan and Iraqi interpreters and their family members in the United States.

Shinwari was motivated by a fierce sense of loyalty to the soldiers he served with and the conviction that the United States has a moral obligation to protect those who risked their lives in its service, saying ""this is our responsibility that we should keep our promise.""",,
Juan Pujol Garcia,moral,"Juan Pujol Garcia, known by the codename ""Garbo,"" was a Spanish double agent who played a pivotal role in the success of the D-Day landings during WWII.","Creating a massive network of 27 entirely imaginary sub-agents (called ""Arabal"") to feed the Nazis false intelligence, he deceived the German High Command into keeping fifteen divisions stationed away from Normandy in Pas-de-Calais, and he is credited with significantly reducing Allied casualties and shortening the war in Europe, potentially saving hundreds of thousands of lives.","Garcia was motivated by a loathing of both political extremes of communism and fascism that he had developed after living through the Spanish Civil War as well as a desire to contribute something ""for the good of humanity"" by accelerating the downfall of the Nazi regime.","Juan Pujol Garcia, known by the codename ""Garbo,"" was a Spanish double agent who played a pivotal role in the success of the D-Day landings during WWII.

Creating a massive network of 27 entirely imaginary sub-agents (called ""Arabal"") to feed the Nazis false intelligence, he deceived the German High Command into keeping fifteen divisions stationed away from Normandy in Pas-de-Calais, and he is credited with significantly reducing Allied casualties and shortening the war in Europe, potentially saving hundreds of thousands of lives.

Garcia was motivated by a loathing of both political extremes of communism and fascism that he had developed after living through the Spanish Civil War as well as a desire to contribute something ""for the good of humanity"" by accelerating the downfall of the Nazi regime.",,
Dashrath Manjhi,moral,"Dashrath Manjhi, known as the ""Mountain Man,"" was a poor laborer in a remote Indian village who undertook a monumental task of manual engineering.","Using only a hammer and chisel, he worked for 22 years to carve a path 360 feet long through a solid mountain, reducing the distance to the nearest hospital from 43 miles to just 1 mile for thousands of villagers.","Manjhi was motivated by the tragic death of his wife, who died because she could not receive timely medical care due to the mountain blocking the path, and a resolve that no other family should suffer the same fate—even in the face of doubt (""when I started hammering the hill, people called me a lunatic, but that steeled my resolve"").","Dashrath Manjhi, known as the ""Mountain Man,"" was a poor laborer in a remote Indian village who undertook a monumental task of manual engineering.

Using only a hammer and chisel, he worked for 22 years to carve a path 360 feet long through a solid mountain, reducing the distance to the nearest hospital from 43 miles to just 1 mile for thousands of villagers.

Manjhi was motivated by the tragic death of his wife, who died because she could not receive timely medical care due to the mountain blocking the path, and a resolve that no other family should suffer the same fate—even in the face of doubt (""when I started hammering the hill, people called me a lunatic, but that steeled my resolve"").",,
Sakena Yacoobi,moral,Sakena Yacoobi is an Afghan activist and educator who founded the Afghan Institute of Learning (AIL) to provide health and education services to women and children.,"Under the first Taliban regime, she courageously operated 80 secret home schools for 3,000 girls, risking execution to ensure that a generation of women would not be denied the right to literacy and intellectual growth, and she has further provided education and health services to over 16 million people through AIL.",Yacoobi was motivated by the belief that educating women is the only way to transform a society and break the cycle of poverty and violence that has plagued her nation.,"Sakena Yacoobi is an Afghan activist and educator who founded the Afghan Institute of Learning (AIL) to provide health and education services to women and children.

Under the first Taliban regime, she courageously operated 80 secret home schools for 3,000 girls, risking execution to ensure that a generation of women would not be denied the right to literacy and intellectual growth, and she has further provided education and health services to over 16 million people through AIL.

Yacoobi was motivated by the belief that educating women is the only way to transform a society and break the cycle of poverty and violence that has plagued her nation.",,
Joe Darby,moral,Joe Darby is a former U.S. Army Reservist who was the whistleblower behind the exposure of prisoner abuse at the Abu Ghraib prison in Iraq.,"Upon discovering CDs containing graphic photographs of soldiers torturing detainees, he handed the evidence to the Army's Criminal Investigation Command, an act that led to international outcry, immediate cessation of abuses against hundreds of detainees at the facility, and the criminal conviction of eleven soldiers and a total overhaul of military interrogation protocols.","Darby was motivated by a strict personal moral code and a feeling of ""violation"" upon seeing the photos (""it violated everything I personally believed in and all I'd been taught about the rules of war"").","Joe Darby is a former U.S. Army Reservist who was the whistleblower behind the exposure of prisoner abuse at the Abu Ghraib prison in Iraq.

Upon discovering CDs containing graphic photographs of soldiers torturing detainees, he handed the evidence to the Army's Criminal Investigation Command, an act that led to international outcry, immediate cessation of abuses against hundreds of detainees at the facility, and the criminal conviction of eleven soldiers and a total overhaul of military interrogation protocols.

Darby was motivated by a strict personal moral code and a feeling of ""violation"" upon seeing the photos (""it violated everything I personally believed in and all I'd been taught about the rules of war"").",,
Albert Göring,moral,Albert Göring was a German businessman and the younger brother of high-ranking Nazi leader Hermann Göring who used the protection of his family name to sabotage the Third Reich.,"He saved between an estimated 1,000–1,500 Jews and political dissidents from certain death by securing their release from concentration camps to Switzerland through forged signatures and official requests, and he frequently sent trucks to camps demanding laborers, only to release the prisoners in the woods.","Göring was motivated by a fundamental moral revulsion toward Nazism and a courageous commitment to using his proximity to power as a shield for the persecuted, despite his brother Hermann's position as Supreme Commander of the Luftwaffe (air force).","Albert Göring was a German businessman and the younger brother of high-ranking Nazi leader Hermann Göring who used the protection of his family name to sabotage the Third Reich.

He saved between an estimated 1,000–1,500 Jews and political dissidents from certain death by securing their release from concentration camps to Switzerland through forged signatures and official requests, and he frequently sent trucks to camps demanding laborers, only to release the prisoners in the woods.

Göring was motivated by a fundamental moral revulsion toward Nazism and a courageous commitment to using his proximity to power as a shield for the persecuted, despite his brother Hermann's position as Supreme Commander of the Luftwaffe (air force).",,Add a comma after laborers
